file_path,origin,file_type,size_bytes,modified_date,likely_role,consumed_by_script,produced_by_script,status,notes
.git,worktree(branch),none,71,2026-06-11,,,,present,
.github/workflows/ci.yml,worktree(branch),yml,2361,2026-06-11,CI,,,present,
.gitignore,worktree(branch),none,1477,2026-06-11,,,,present,
LICENSE,worktree(branch),none,1088,2026-06-11,,,,present,
README.md,worktree(branch),md,31484,2026-06-11,,,,present,
config/physics.yaml,worktree(branch),yaml,1681,2026-06-11,physics/config yaml,"derive_rul.py, pinn scripts",manual (P4),present,
data/README_data.md,main-repo data/ (gitignored),md,8083,2026-05-20,,,,present,
data/external/README.md,main-repo data/ (gitignored),md,95,2026-05-20,external datasets placeholder (empty),,,present,
data/interim/.gitkeep,main-repo data/ (gitignored),none,0,2026-05-08,intermediate features,,,present,
data/interim/augmentation/train_augmented_feature_noise.csv,main-repo data/ (gitignored),csv,119633,2026-05-13,"augmented train folds (P1, training-only)",,,present,
data/interim/augmentation/train_augmented_feature_scaling.csv,main-repo data/ (gitignored),csv,120270,2026-05-13,"augmented train folds (P1, training-only)",,,present,
data/interim/augmentation/train_augmented_grouped_scaling.csv,main-repo data/ (gitignored),csv,120323,2026-05-13,"augmented train folds (P1, training-only)",,,present,
data/interim/contact_features.csv,main-repo data/ (gitignored),csv,35339,2026-05-13,intermediate features,build_dataset.py (aggregation step),build_dataset.py,present,
data/manifest/t01_canonical_definition.csv,worktree(branch),csv,3349,2026-06-11,data manifests (P7/P7.0),P7 documentation,P7 session 2026-06-11,present,
data/manifest/t01_manifest.csv,worktree(branch),csv,35342,2026-06-11,data manifests (P7/P7.0),P7 documentation,refocus session 2026-06-11,present,
data/processed/.gitkeep,main-repo data/ (gitignored),none,0,2026-05-08,model-ready datasets,,,present,
data/processed/_t_agg.csv,main-repo data/ (gitignored),csv,21040,2026-06-09,model-ready datasets,,,present,
data/processed/_t_agg.csv.meta.json,main-repo data/ (gitignored),json,176,2026-06-09,model-ready datasets,,,present,
data/processed/_t_bad.csv,main-repo data/ (gitignored),csv,21040,2026-06-09,model-ready datasets,,,present,
data/processed/_t_bad.csv.meta.json,main-repo data/ (gitignored),json,176,2026-06-09,model-ready datasets,,,present,
data/processed/_t_tgt.csv,main-repo data/ (gitignored),csv,201,2026-06-09,model-ready datasets,,,present,
data/processed/experiment_features.csv,main-repo data/ (gitignored),csv,38302,2026-05-13,model-ready datasets,"run_layered_pipeline.py, run_time_aware_baselines.py, run_pinn*.py, derive_rul.py, uncertainty_analysis.py",build_dataset.py / ingest.py,present,
data/processed/experiment_features.csv.meta.json,main-repo data/ (gitignored),json,158,2026-06-09,model-ready datasets,,,present,
data/processed/modeling_dataset.csv,main-repo data/ (gitignored),csv,38184,2026-05-13,model-ready datasets,legacy consumers,build_dataset.py,present,
data/raw/acoustic/full_signals/.gitkeep,main-repo data/ (gitignored),none,0,2026-05-08,raw acoustic emission (UNUSED by current features),,,present,
data/raw/acoustic/segments/.gitkeep,main-repo data/ (gitignored),none,0,2026-05-08,raw acoustic emission (UNUSED by current features),,,present,
data/raw/full_signals/.gitkeep,main-repo data/ (gitignored),none,0,2026-05-08,raw full-length vibration signal,build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/full_signals/A66_parsed_modified.txt,main-repo data/ (gitignored),txt,108539136,2026-04-21,raw full-length vibration signal,build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/full_signals/A67_parsed_modified.txt,main-repo data/ (gitignored),txt,122740022,2026-04-21,raw full-length vibration signal,build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/full_signals/A68_parsed_modified.txt,main-repo data/ (gitignored),txt,118299420,2026-04-21,raw full-length vibration signal,build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/full_signals/A69_parsed_modified.txt,main-repo data/ (gitignored),txt,116973898,2026-04-21,raw full-length vibration signal,build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/full_signals/A70_parsed_modified.txt,main-repo data/ (gitignored),txt,180702906,2026-04-21,raw full-length vibration signal,build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/full_signals/A73_parsed_modified.txt,main-repo data/ (gitignored),txt,119311902,2026-04-21,raw full-length vibration signal,build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/full_signals/A74_parsed_modified.txt,main-repo data/ (gitignored),txt,106991497,2026-04-21,raw full-length vibration signal,build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/full_signals/A75_parsed_modified.txt,main-repo data/ (gitignored),txt,103303209,2026-04-21,raw full-length vibration signal,build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/full_signals/A76_parsed_modified.txt,main-repo data/ (gitignored),txt,110448300,2026-04-21,raw full-length vibration signal,build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/full_signals/A77_parsed_modified.txt,main-repo data/ (gitignored),txt,102002068,2026-04-21,raw full-length vibration signal,build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/full_signals/R66_parsed_modified.txt,main-repo data/ (gitignored),txt,115050418,2026-04-21,raw full-length vibration signal,build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/full_signals/R67_parsed_modified.txt,main-repo data/ (gitignored),txt,129377168,2026-04-21,raw full-length vibration signal,build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/full_signals/R68_parsed_modified.txt,main-repo data/ (gitignored),txt,125485802,2026-04-21,raw full-length vibration signal,build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/full_signals/R69_parsed_modified.txt,main-repo data/ (gitignored),txt,123822325,2026-04-21,raw full-length vibration signal,build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/full_signals/R70_parsed_modified.txt,main-repo data/ (gitignored),txt,187359534,2026-04-21,raw full-length vibration signal,build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/full_signals/R73_parsed_modified.txt,main-repo data/ (gitignored),txt,126456023,2026-04-21,raw full-length vibration signal,build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/full_signals/R74_parsed_modified.txt,main-repo data/ (gitignored),txt,113304872,2026-04-21,raw full-length vibration signal,build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/full_signals/R75_parsed_modified.txt,main-repo data/ (gitignored),txt,109187547,2026-04-21,raw full-length vibration signal,build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/full_signals/R76_parsed_modified.txt,main-repo data/ (gitignored),txt,118414592,2026-04-21,raw full-length vibration signal,build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/full_signals/R77_parsed_modified.txt,main-repo data/ (gitignored),txt,108892504,2026-04-21,raw full-length vibration signal,build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/metadata/experiment_metadata.csv,main-repo data/ (gitignored),csv,257,2026-05-07,experiment metadata,"build_dataset.py, ingest.py",upstream,present,
data/raw/segments/.gitkeep,main-repo data/ (gitignored),none,0,2026-05-08,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/A66_p1.txt,main-repo data/ (gitignored),txt,3432812,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/A66_p2.txt,main-repo data/ (gitignored),txt,3256565,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/A66_p3.txt,main-repo data/ (gitignored),txt,2683192,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/A66_p4.txt,main-repo data/ (gitignored),txt,2372105,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/A66_p5.txt,main-repo data/ (gitignored),txt,2124601,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/A66_p6.txt,main-repo data/ (gitignored),txt,2044511,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/A67_p1.txt,main-repo data/ (gitignored),txt,3428383,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/A67_p2.txt,main-repo data/ (gitignored),txt,3025365,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/A67_p3.txt,main-repo data/ (gitignored),txt,6071967,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/A67_p4.txt,main-repo data/ (gitignored),txt,2191935,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/A67_p5.txt,main-repo data/ (gitignored),txt,2354102,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/A67_p6.txt,main-repo data/ (gitignored),txt,2308627,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/A68_p1.txt,main-repo data/ (gitignored),txt,3423543,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/A68_p2.txt,main-repo data/ (gitignored),txt,2972939,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/A68_p3.txt,main-repo data/ (gitignored),txt,2681998,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/A68_p4.txt,main-repo data/ (gitignored),txt,2625198,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/A68_p5.txt,main-repo data/ (gitignored),txt,2081410,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/A68_p6.txt,main-repo data/ (gitignored),txt,2346803,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/A69_p1.txt,main-repo data/ (gitignored),txt,3188559,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/A69_p2.txt,main-repo data/ (gitignored),txt,2960594,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/A69_p3.txt,main-repo data/ (gitignored),txt,2565642,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/A69_p4.txt,main-repo data/ (gitignored),txt,2171327,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/A69_p5.txt,main-repo data/ (gitignored),txt,1907249,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/A69_p6.txt,main-repo data/ (gitignored),txt,1619855,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/A70_p1.txt,main-repo data/ (gitignored),txt,3135065,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/A70_p2.txt,main-repo data/ (gitignored),txt,2815658,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/A70_p3.txt,main-repo data/ (gitignored),txt,2457738,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/A70_p4.txt,main-repo data/ (gitignored),txt,2207215,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/A70_p5.txt,main-repo data/ (gitignored),txt,1885103,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/A70_p6.txt,main-repo data/ (gitignored),txt,1442704,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/A73_p1.txt,main-repo data/ (gitignored),txt,3196723,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/A73_p2.txt,main-repo data/ (gitignored),txt,2919667,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/A73_p3.txt,main-repo data/ (gitignored),txt,2536839,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/A73_p4.txt,main-repo data/ (gitignored),txt,2148859,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/A73_p5.txt,main-repo data/ (gitignored),txt,1805677,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/A73_p6.txt,main-repo data/ (gitignored),txt,1633742,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/A74_p1.txt,main-repo data/ (gitignored),txt,3218426,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/A74_p2.txt,main-repo data/ (gitignored),txt,3165605,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/A74_p3.txt,main-repo data/ (gitignored),txt,2620520,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/A74_p4.txt,main-repo data/ (gitignored),txt,2209311,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/A74_p5.txt,main-repo data/ (gitignored),txt,1917444,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/A74_p6.txt,main-repo data/ (gitignored),txt,1489118,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/A75_p1.txt,main-repo data/ (gitignored),txt,3252659,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/A75_p2.txt,main-repo data/ (gitignored),txt,2983774,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/A75_p3.txt,main-repo data/ (gitignored),txt,2648844,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/A75_p4.txt,main-repo data/ (gitignored),txt,2201773,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/A75_p5.txt,main-repo data/ (gitignored),txt,2011027,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/A75_p6.txt,main-repo data/ (gitignored),txt,1482021,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/A76_p1.txt,main-repo data/ (gitignored),txt,3407078,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/A76_p2.txt,main-repo data/ (gitignored),txt,3151563,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/A76_p3.txt,main-repo data/ (gitignored),txt,2557831,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/A76_p4.txt,main-repo data/ (gitignored),txt,2236278,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/A76_p5.txt,main-repo data/ (gitignored),txt,1806310,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/A76_p6.txt,main-repo data/ (gitignored),txt,1528624,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/A77_p1.txt,main-repo data/ (gitignored),txt,3319925,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/A77_p2.txt,main-repo data/ (gitignored),txt,2976123,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/A77_p3.txt,main-repo data/ (gitignored),txt,2629390,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/A77_p4.txt,main-repo data/ (gitignored),txt,983239,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/R66_p1.txt,main-repo data/ (gitignored),txt,3258899,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/R66_p2.txt,main-repo data/ (gitignored),txt,3162035,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/R66_p3.txt,main-repo data/ (gitignored),txt,2738630,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/R66_p4.txt,main-repo data/ (gitignored),txt,2500149,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/R66_p5.txt,main-repo data/ (gitignored),txt,2145599,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/R66_p6.txt,main-repo data/ (gitignored),txt,1727510,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/R67_p1.txt,main-repo data/ (gitignored),txt,3264163,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/R67_p2.txt,main-repo data/ (gitignored),txt,2882801,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/R67_p3.txt,main-repo data/ (gitignored),txt,6039519,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/R67_p4.txt,main-repo data/ (gitignored),txt,2201972,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/R67_p5.txt,main-repo data/ (gitignored),txt,2312124,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/R67_p6.txt,main-repo data/ (gitignored),txt,2153465,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/R68_p1.txt,main-repo data/ (gitignored),txt,3423602,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/R68_p2.txt,main-repo data/ (gitignored),txt,2982787,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/R68_p3.txt,main-repo data/ (gitignored),txt,2550483,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/R68_p4.txt,main-repo data/ (gitignored),txt,2258440,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/R68_p5.txt,main-repo data/ (gitignored),txt,1920804,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/R68_p6.txt,main-repo data/ (gitignored),txt,3639509,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/R69_p1.txt,main-repo data/ (gitignored),txt,3230905,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/R69_p2.txt,main-repo data/ (gitignored),txt,2909601,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/R69_p3.txt,main-repo data/ (gitignored),txt,2539442,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/R69_p4.txt,main-repo data/ (gitignored),txt,2311346,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/R69_p5.txt,main-repo data/ (gitignored),txt,1857151,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/R69_p6.txt,main-repo data/ (gitignored),txt,1532076,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/R70_p1.txt,main-repo data/ (gitignored),txt,3142191,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/R70_p2.txt,main-repo data/ (gitignored),txt,2841217,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/R70_p3.txt,main-repo data/ (gitignored),txt,2519224,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/R70_p4.txt,main-repo data/ (gitignored),txt,2160047,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/R70_p5.txt,main-repo data/ (gitignored),txt,1810572,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/R70_p6.txt,main-repo data/ (gitignored),txt,1437714,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/R73_p1.txt,main-repo data/ (gitignored),txt,3244225,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/segments/R73_p2.txt,main-repo data/ (gitignored),txt,2885077,2026-04-21,raw vibration segment (contact window),build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
