model,feature_subset,data_branch,tuning_method,augmentation_strategy,branch_id,n_features,best_params,best_cv_score_mae,scoring,cv_strategy,notes
DummyRegressor,FUSION,N,none,none,FUSION_N_ST,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
Ridge,FUSION,N,none,none,FUSION_N_ST,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
Lasso,FUSION,N,none,none,FUSION_N_ST,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
ElasticNet,FUSION,N,none,none,FUSION_N_ST,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
SVR,FUSION,N,none,none,FUSION_N_ST,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
RandomForest,FUSION,N,none,none,FUSION_N_ST,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
XGBoost,FUSION,N,none,none,FUSION_N_ST,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
MLP,FUSION,N,none,none,FUSION_N_ST,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
BNN,FUSION,N,none,none,FUSION_N_ST,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
DummyRegressor,FUSION,N,none,none,FUSION_N_CT_random,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
Ridge,FUSION,N,random,none,FUSION_N_CT_random,189,"{""model__alpha"": 100}",35.19029025679653,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 5}"
Lasso,FUSION,N,random,none,FUSION_N_CT_random,189,"{""model__alpha"": 0.01}",30.99340591128068,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 5}"
ElasticNet,FUSION,N,random,none,FUSION_N_CT_random,189,"{""model__l1_ratio"": 0.7, ""model__alpha"": 0.1}",22.284980325432148,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 20}"
SVR,FUSION,N,random,none,FUSION_N_CT_random,189,"{""model__gamma"": ""auto"", ""model__epsilon"": 0.1, ""model__C"": 100}",47.73174726714657,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 20}"
RandomForest,FUSION,N,random,none,FUSION_N_CT_random,189,"{""model__n_estimators"": 100, ""model__min_samples_leaf"": 2, ""model__max_depth"": 3}",45.65233333333333,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 20}"
XGBoost,FUSION,N,random,none,FUSION_N_CT_random,189,"{""model__subsample"": 0.6, ""model__reg_lambda"": 5, ""model__n_estimators"": 100, ""model__max_depth"": 2, ""model__learning_rate"": 0.1, ""model__colsample_bytree"": 0.5}",40.32635345458984,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 20}"
MLP,FUSION,N,none,none,FUSION_N_CT_random,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
BNN,FUSION,N,none,none,FUSION_N_CT_random,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
DummyRegressor,FUSION,N,none,none,FUSION_N_CT_grid,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
Ridge,FUSION,N,grid,none,FUSION_N_CT_grid,189,"{""model__alpha"": 100}",35.19029025679653,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 5}"
Lasso,FUSION,N,grid,none,FUSION_N_CT_grid,189,"{""model__alpha"": 0.01}",30.99340591128068,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 5}"
ElasticNet,FUSION,N,grid,none,FUSION_N_CT_grid,189,"{""model__alpha"": 0.1, ""model__l1_ratio"": 0.7}",22.284980325432148,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 20}"
SVR,FUSION,N,grid,none,FUSION_N_CT_grid,189,"{""model__C"": 100, ""model__epsilon"": 0.1, ""model__gamma"": ""scale""}",47.73174726714657,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 32}"
RandomForest,FUSION,N,grid,none,FUSION_N_CT_grid,189,"{""model__max_depth"": 2, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}",45.65233333333333,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 36}"
XGBoost,FUSION,N,grid,none,FUSION_N_CT_grid,189,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.1, ""model__max_depth"": 2, ""model__n_estimators"": 200, ""model__reg_lambda"": 10, ""model__subsample"": 0.8}",37.07298583984375,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 54}"
MLP,FUSION,N,none,none,FUSION_N_CT_grid,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
BNN,FUSION,N,none,none,FUSION_N_CT_grid,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
DummyRegressor,FUSION,A,none,feature_noise,FUSION_A_ST_feature_noise,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
Ridge,FUSION,A,none,feature_noise,FUSION_A_ST_feature_noise,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
Lasso,FUSION,A,none,feature_noise,FUSION_A_ST_feature_noise,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
ElasticNet,FUSION,A,none,feature_noise,FUSION_A_ST_feature_noise,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
SVR,FUSION,A,none,feature_noise,FUSION_A_ST_feature_noise,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
RandomForest,FUSION,A,none,feature_noise,FUSION_A_ST_feature_noise,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
XGBoost,FUSION,A,none,feature_noise,FUSION_A_ST_feature_noise,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
MLP,FUSION,A,none,feature_noise,FUSION_A_ST_feature_noise,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
BNN,FUSION,A,none,feature_noise,FUSION_A_ST_feature_noise,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
DummyRegressor,FUSION,A,none,feature_noise,FUSION_A_CT_random_feature_noise,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
Ridge,FUSION,A,random,feature_noise,FUSION_A_CT_random_feature_noise,189,"{""model__alpha"": 10}",26.24522171907834,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 5}"
Lasso,FUSION,A,random,feature_noise,FUSION_A_CT_random_feature_noise,189,"{""model__alpha"": 0.01}",27.114336257065258,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 5}"
ElasticNet,FUSION,A,random,feature_noise,FUSION_A_CT_random_feature_noise,189,"{""model__l1_ratio"": 0.1, ""model__alpha"": 10}",22.037733814980015,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 20}"
SVR,FUSION,A,random,feature_noise,FUSION_A_CT_random_feature_noise,189,"{""model__gamma"": ""scale"", ""model__epsilon"": 1, ""model__C"": 10}",47.61012171012711,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 20}"
RandomForest,FUSION,A,random,feature_noise,FUSION_A_CT_random_feature_noise,189,"{""model__n_estimators"": 100, ""model__min_samples_leaf"": 1, ""model__max_depth"": 5}",50.5985,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 20}"
XGBoost,FUSION,A,random,feature_noise,FUSION_A_CT_random_feature_noise,189,"{""model__subsample"": 0.8, ""model__reg_lambda"": 1, ""model__n_estimators"": 100, ""model__max_depth"": 1, ""model__learning_rate"": 0.1, ""model__colsample_bytree"": 0.8}",39.23303413391113,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 20}"
MLP,FUSION,A,none,feature_noise,FUSION_A_CT_random_feature_noise,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
BNN,FUSION,A,none,feature_noise,FUSION_A_CT_random_feature_noise,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
DummyRegressor,FUSION,A,none,feature_noise,FUSION_A_CT_grid_feature_noise,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
Ridge,FUSION,A,grid,feature_noise,FUSION_A_CT_grid_feature_noise,189,"{""model__alpha"": 10}",26.24522171907834,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 5}"
Lasso,FUSION,A,grid,feature_noise,FUSION_A_CT_grid_feature_noise,189,"{""model__alpha"": 0.01}",27.114336257065258,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 5}"
ElasticNet,FUSION,A,grid,feature_noise,FUSION_A_CT_grid_feature_noise,189,"{""model__alpha"": 10, ""model__l1_ratio"": 0.1}",22.037733814980015,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 20}"
SVR,FUSION,A,grid,feature_noise,FUSION_A_CT_grid_feature_noise,189,"{""model__C"": 10, ""model__epsilon"": 0.1, ""model__gamma"": ""scale""}",47.59555231036388,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 32}"
RandomForest,FUSION,A,grid,feature_noise,FUSION_A_CT_grid_feature_noise,189,"{""model__max_depth"": 5, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 50}",50.251,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 36}"
XGBoost,FUSION,A,grid,feature_noise,FUSION_A_CT_grid_feature_noise,189,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__n_estimators"": 200, ""model__reg_lambda"": 10, ""model__subsample"": 0.8}",37.16017532348633,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 54}"
MLP,FUSION,A,none,feature_noise,FUSION_A_CT_grid_feature_noise,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
BNN,FUSION,A,none,feature_noise,FUSION_A_CT_grid_feature_noise,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
DummyRegressor,FUSION,A,none,feature_scaling,FUSION_A_ST_feature_scaling,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
Ridge,FUSION,A,none,feature_scaling,FUSION_A_ST_feature_scaling,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
Lasso,FUSION,A,none,feature_scaling,FUSION_A_ST_feature_scaling,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
ElasticNet,FUSION,A,none,feature_scaling,FUSION_A_ST_feature_scaling,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
SVR,FUSION,A,none,feature_scaling,FUSION_A_ST_feature_scaling,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
RandomForest,FUSION,A,none,feature_scaling,FUSION_A_ST_feature_scaling,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
XGBoost,FUSION,A,none,feature_scaling,FUSION_A_ST_feature_scaling,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
MLP,FUSION,A,none,feature_scaling,FUSION_A_ST_feature_scaling,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
BNN,FUSION,A,none,feature_scaling,FUSION_A_ST_feature_scaling,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
DummyRegressor,FUSION,A,none,feature_scaling,FUSION_A_CT_random_feature_scaling,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
Ridge,FUSION,A,random,feature_scaling,FUSION_A_CT_random_feature_scaling,189,"{""model__alpha"": 100}",36.76876406126297,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 5}"
Lasso,FUSION,A,random,feature_scaling,FUSION_A_CT_random_feature_scaling,189,"{""model__alpha"": 0.1}",32.75385354077415,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 5}"
ElasticNet,FUSION,A,random,feature_scaling,FUSION_A_CT_random_feature_scaling,189,"{""model__l1_ratio"": 0.7, ""model__alpha"": 1}",23.01863881846994,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 20}"
SVR,FUSION,A,random,feature_scaling,FUSION_A_CT_random_feature_scaling,189,"{""model__gamma"": ""scale"", ""model__epsilon"": 1, ""model__C"": 10}",47.60330847956715,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 20}"
RandomForest,FUSION,A,random,feature_scaling,FUSION_A_CT_random_feature_scaling,189,"{""model__n_estimators"": 100, ""model__min_samples_leaf"": 1, ""model__max_depth"": 5}",52.810249999999996,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 20}"
XGBoost,FUSION,A,random,feature_scaling,FUSION_A_CT_random_feature_scaling,189,"{""model__subsample"": 0.8, ""model__reg_lambda"": 1, ""model__n_estimators"": 100, ""model__max_depth"": 1, ""model__learning_rate"": 0.1, ""model__colsample_bytree"": 0.8}",41.642415809631345,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 20}"
MLP,FUSION,A,none,feature_scaling,FUSION_A_CT_random_feature_scaling,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
BNN,FUSION,A,none,feature_scaling,FUSION_A_CT_random_feature_scaling,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
DummyRegressor,FUSION,A,none,feature_scaling,FUSION_A_CT_grid_feature_scaling,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
Ridge,FUSION,A,grid,feature_scaling,FUSION_A_CT_grid_feature_scaling,189,"{""model__alpha"": 100}",36.76876406126297,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 5}"
Lasso,FUSION,A,grid,feature_scaling,FUSION_A_CT_grid_feature_scaling,189,"{""model__alpha"": 0.1}",32.75385354077415,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 5}"
ElasticNet,FUSION,A,grid,feature_scaling,FUSION_A_CT_grid_feature_scaling,189,"{""model__alpha"": 1, ""model__l1_ratio"": 0.7}",23.01863881846994,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 20}"
SVR,FUSION,A,grid,feature_scaling,FUSION_A_CT_grid_feature_scaling,189,"{""model__C"": 10, ""model__epsilon"": 0.1, ""model__gamma"": ""scale""}",47.57865832599789,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 32}"
RandomForest,FUSION,A,grid,feature_scaling,FUSION_A_CT_grid_feature_scaling,189,"{""model__max_depth"": 5, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 50}",51.834,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 36}"
XGBoost,FUSION,A,grid,feature_scaling,FUSION_A_CT_grid_feature_scaling,189,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.05, ""model__max_depth"": 1, ""model__n_estimators"": 200, ""model__reg_lambda"": 5, ""model__subsample"": 0.8}",38.731291961669925,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 54}"
MLP,FUSION,A,none,feature_scaling,FUSION_A_CT_grid_feature_scaling,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
BNN,FUSION,A,none,feature_scaling,FUSION_A_CT_grid_feature_scaling,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
DummyRegressor,FUSION,A,none,grouped_scaling,FUSION_A_ST_grouped_scaling,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
Ridge,FUSION,A,none,grouped_scaling,FUSION_A_ST_grouped_scaling,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
Lasso,FUSION,A,none,grouped_scaling,FUSION_A_ST_grouped_scaling,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
ElasticNet,FUSION,A,none,grouped_scaling,FUSION_A_ST_grouped_scaling,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
SVR,FUSION,A,none,grouped_scaling,FUSION_A_ST_grouped_scaling,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
RandomForest,FUSION,A,none,grouped_scaling,FUSION_A_ST_grouped_scaling,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
XGBoost,FUSION,A,none,grouped_scaling,FUSION_A_ST_grouped_scaling,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
MLP,FUSION,A,none,grouped_scaling,FUSION_A_ST_grouped_scaling,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
BNN,FUSION,A,none,grouped_scaling,FUSION_A_ST_grouped_scaling,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
DummyRegressor,FUSION,A,none,grouped_scaling,FUSION_A_CT_random_grouped_scaling,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
Ridge,FUSION,A,random,grouped_scaling,FUSION_A_CT_random_grouped_scaling,189,"{""model__alpha"": 0.01}",28.369546551805552,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 5}"
Lasso,FUSION,A,random,grouped_scaling,FUSION_A_CT_random_grouped_scaling,189,"{""model__alpha"": 0.001}",21.122532442663083,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 5}"
ElasticNet,FUSION,A,random,grouped_scaling,FUSION_A_CT_random_grouped_scaling,189,"{""model__l1_ratio"": 0.7, ""model__alpha"": 0.1}",23.106630365599877,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 20}"
SVR,FUSION,A,random,grouped_scaling,FUSION_A_CT_random_grouped_scaling,189,"{""model__gamma"": ""scale"", ""model__epsilon"": 1, ""model__C"": 10}",47.63110230753771,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 20}"
RandomForest,FUSION,A,random,grouped_scaling,FUSION_A_CT_random_grouped_scaling,189,"{""model__n_estimators"": 100, ""model__min_samples_leaf"": 1, ""model__max_depth"": 5}",53.2615,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 20}"
XGBoost,FUSION,A,random,grouped_scaling,FUSION_A_CT_random_grouped_scaling,189,"{""model__subsample"": 0.8, ""model__reg_lambda"": 1, ""model__n_estimators"": 100, ""model__max_depth"": 1, ""model__learning_rate"": 0.1, ""model__colsample_bytree"": 0.8}",36.14764938354492,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 20}"
MLP,FUSION,A,none,grouped_scaling,FUSION_A_CT_random_grouped_scaling,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
BNN,FUSION,A,none,grouped_scaling,FUSION_A_CT_random_grouped_scaling,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
DummyRegressor,FUSION,A,none,grouped_scaling,FUSION_A_CT_grid_grouped_scaling,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
Ridge,FUSION,A,grid,grouped_scaling,FUSION_A_CT_grid_grouped_scaling,189,"{""model__alpha"": 0.01}",28.369546551805552,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 5}"
Lasso,FUSION,A,grid,grouped_scaling,FUSION_A_CT_grid_grouped_scaling,189,"{""model__alpha"": 0.001}",21.122532442663083,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 5}"
ElasticNet,FUSION,A,grid,grouped_scaling,FUSION_A_CT_grid_grouped_scaling,189,"{""model__alpha"": 0.1, ""model__l1_ratio"": 0.7}",23.106630365599877,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 20}"
SVR,FUSION,A,grid,grouped_scaling,FUSION_A_CT_grid_grouped_scaling,189,"{""model__C"": 10, ""model__epsilon"": 0.1, ""model__gamma"": ""scale""}",47.586556367036295,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 32}"
RandomForest,FUSION,A,grid,grouped_scaling,FUSION_A_CT_grid_grouped_scaling,189,"{""model__max_depth"": 5, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 50}",52.692499999999995,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 36}"
XGBoost,FUSION,A,grid,grouped_scaling,FUSION_A_CT_grid_grouped_scaling,189,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.05, ""model__max_depth"": 1, ""model__n_estimators"": 200, ""model__reg_lambda"": 5, ""model__subsample"": 0.8}",37.90040302276611,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 54}"
MLP,FUSION,A,none,grouped_scaling,FUSION_A_CT_grid_grouped_scaling,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
